[p2, 17, 2, 0]	Vacuum B
[p2, 18, 2, 0]	BigBadPerc
[p2, 19, 2, 0]	ChurchPipe
[p2, 20, 2, 0]	Reed Stops
[p2, 21, 2, 0]	FrAccrdion
[p2, 22, 2, 0]	PocketHarp
[p2, 23, 2, 0]	AhOneAnna2
[p2, 24, 2, 0]	ThickNylon
[p2, 25, 2, 0]	DoublSteel
[p2, 26, 2, 0]	PassGuitar
[p2, 27, 2, 0]	PulpGuitar
[p2, 28, 2, 0]	Funky Mute
[p2, 29, 2, 0]	OvrdriveGt
[p2, 30, 2, 0]	Rock Lead
[p2, 31, 2, 0]	ElHarmonic
[g1]		Group C2
[p2, 32, 2, 0]	AcousBassV
[p2, 33, 2, 0]	Deep Bass
[p2, 34, 2, 0]	Mu Bass
[p2, 35, 2, 0]	VolumeKnob
[p2, 36, 2, 0]	FlaminBass
[p2, 37, 2, 0]	GothamBass
[p2, 38, 2, 0]	Filter Wow
[p2, 39, 2, 0]	Hypno Bass
[p2, 40, 2, 0]	DiamondVln
[p2, 41, 2, 0]	Solo Viola
[p2, 42, 2, 0]	DarkrCello
[p2, 43, 2, 0]	Bass&Cello
[p2, 44, 2, 0]	TrembleStr
[p2, 45, 2, 0]	PizzViolin
[p2, 46, 2, 0]	Soft Harp
[p2, 47, 2, 0]	Big O Timp
[p2, 48, 2, 0]	ArcoStrngs
[p2, 49, 2, 0]	String Pad
[p2, 50, 2, 0]	J Strings
[p2, 51, 2, 0]	Ana String
[p2, 52, 2, 0]	Ooh LaLa
[p2, 53, 2, 0]	Chiff Oohs
[p2, 54, 2, 0]	Velocivox
[p2, 55, 2, 0]	Mortal Hit
[p2, 56, 2, 0]	TrumpetLyt
[p2, 57, 2, 0]	Solo Tromb
[p2, 58, 2, 0]	Big Tuba
[p2, 59, 2, 0]	Jazz Mute
[p2, 60, 2, 0]	FHrn Ens
[p2, 61, 2, 0]	BrassTouch
[p2, 62, 2, 0]	Sfz Brass
[p2, 63, 2, 0]	FiltrSynth
[g1]		Group C3
[p2, 64, 2, 0]	Saxette
[p2, 65, 2, 0]	Spit Alto
[p2, 66, 2, 0]	BreathySax
[p2, 67, 2, 0]	Big O Bari
[p2, 68, 2, 0]	Oboe Blow
[p2, 69, 2, 0]	London Fog
[p2, 70, 2, 0]	SoloBasoon
[p2, 71, 2, 0]	1stClarnet
[p2, 72, 2, 0]	Pick-a-low
[p2, 73, 2, 0]	MoodyFlute
[p2, 74, 2, 0]	SftRecordr
[p2, 75, 2, 0]	Panz Flute
[p2, 76, 2, 0]	BottledAir
[p2, 77, 2, 0]	Phat Pipe
[p2, 78, 2, 0]	Whistral
[p2, 79, 2, 0]	OcariNoir
[p2, 80, 2, 0]	SquareLead
[p2, 81, 2, 0]	Saw Lead
[p2, 82, 2, 0]	SynCalliop
[p2, 83, 2, 0]	Zip Lead
[p2, 84, 2, 0]	Boiled Gtr
[p2, 85, 2, 0]	Solo Vocks
[p2, 86, 2, 0]	King 5th
[p2, 87, 2, 0]	Low&High
[p2, 88, 2, 0]	Marimpanad
[p2, 89, 2, 0]	Cool Pad
[p2, 90, 2, 0]	Poly-gone
[p2, 91, 2, 0]	BrezyChoir
[p2, 92, 2, 0]	Bo's Glass
[p2, 93, 2, 0]	Tal Pad
[p2, 94, 2, 0]	Holo Pad
[p2, 95, 2, 0]	Sweep Up
[g1]		Group C4
[p2, 96, 2, 0]	Comet Rain
[p2, 97, 2, 0]	SuperScore
[p2, 98, 2, 0]	Aluminum
[p2, 99, 2, 0]	Atmosfear
[p2, 100, 2, 0]	Brighter
[p2, 101, 2, 0]	Elves
[p2, 102, 2, 0]	EffectRetn
[p2, 103, 2, 0]	Sci-Fi
[p2, 104, 2, 0]	Sitar Buzz
[p2, 105, 2, 0]	BanjoDual
[p2, 106, 2, 0]	Shamijo
[p2, 107, 2, 0]	Soft Koto
[p2, 108, 2, 0]	Kalidark
[p2, 109, 2, 0]	Bag O'pipe
[p2, 110, 2, 0]	Violin Ace
[p2, 111, 2, 0]	Shan'sReed
[p2, 112, 2, 0]	Real Rock
[p2, 113, 2, 0]	Dry70'sKit
[p2, 114, 2, 0]	Hipp Kitt
[p2, 115, 2, 0]	Bomb Kit
[p2, 116, 2, 0]	HardcorKit
[p2, 117, 2, 0]	Club Kit
[p2, 118, 2, 0]	Old School
[p2, 119, 2, 0]	Destructo!
[p2, 120, 2, 0]	Swamp Goop
[p2, 121, 2, 0]	Dub Lander
[p2, 122, 2, 0]	Sweat
[p2, 123, 2, 0]	Nodes
[p2, 124, 2, 0]	Git Along
[p2, 125, 2, 0]	Danger Tip
[p2, 126, 2, 0]	Nanites
[p2, 127, 2, 0]	Cricketry
[g1]		Group D1
[p2, 0, 3, 0]	ClasclGrnd
[p2, 1, 3, 0]	HyperPiano
[p2, 2, 3, 0]	Syn Piano
[p2, 3, 3, 0]	Balladeer
[p2, 4, 3, 0]	Nice Tines
[p2, 5, 3, 0]	Smooth EP
[p2, 6, 3, 0]	Octachord
[p2, 7, 3, 0]	ProfitClav
[p2, 8, 3, 0]	FairyBellz
[p2, 9, 3, 0]	GlassBells
[p2, 10, 3, 0]	Clear Bell
[p2, 11, 3, 0]	Vibraphone
[p2, 12, 3, 0]	Wood Sign
[p2, 13, 3, 0]	Steelophon
[p2, 14, 3, 0]	Tubularis
[p2, 15, 3, 0]	Dulcioto
[p2, 16, 3, 0]	DrawbarCtl
[p2, 17, 3, 0]	MW Organ
[p2, 18, 3, 0]	ToneWhlPrc
[p2, 19, 3, 0]	BritePipes
[p2, 20, 3, 0]	DigiPump
[p2, 21, 3, 0]	WrmAcrdion
[p2, 22, 3, 0]	F-harmonca
[p2, 23, 3, 0]	DarkHrmnca
[p2, 24, 3, 0]	Flamenco 6
[p2, 25, 3, 0]	Acous6Strg
[p2, 26, 3, 0]	HawaiianGt
[p2, 27, 3, 0]	CountryGtr
[p2, 28, 3, 0]	Total Chug
[p2, 29, 3, 0]	TurboCtrlC
[p2, 30, 3, 0]	DistortdGt
[p2, 31, 3, 0]	AcHarmonic
[g1]		Group D2
[p2, 32, 3, 0]	FatUpright
[p2, 33, 3, 0]	Face Bass
[p2, 34, 3, 0]	SharpStick
[p2, 35, 3, 0]	SmoothNeck
[p2, 36, 3, 0]	Popless
[p2, 37, 3, 0]	Pop'n Bass
[p2, 38, 3, 0]	LatelyBass
[p2, 39, 3, 0]	TranceBass
[p2, 40, 3, 0]	Violiner
[p2, 41, 3, 0]	C-Bs&Viola
[p2, 42, 3, 0]	CelloRound
[p2, 43, 3, 0]	Celli
[p2, 44, 3, 0]	StringAura
[p2, 45, 3, 0]	Pizz Pluck
[p2, 46, 3, 0]	Harpitz
[p2, 47, 3, 0]	TrashyTimp
[p2, 48, 3, 0]	Concerto
[p2, 49, 3, 0]	Slow 8s
[p2, 50, 3, 0]	AnaStrEnsm
[p2, 51, 3, 0]	Syn Arcos
[p2, 52, 3, 0]	MorphChoir
[p2, 53, 3, 0]	Hen-Ya
[p2, 54, 3, 0]	Air Choir
[p2, 55, 3, 0]	Danz Hitz
[p2, 56, 3, 0]	SynTrumpet
[p2, 57, 3, 0]	Tromb Ens
[p2, 58, 3, 0]	Round Tuba
[p2, 59, 3, 0]	Orch Mutes
[p2, 60, 3, 0]	HornExpans
[p2, 61, 3, 0]	Stab Brass
[p2, 62, 3, 0]	Mighty5ths
[p2, 63, 3, 0]	Ooh Horns
[g1]		Group D3
[p2, 64, 3, 0]	LiteSoprno
[p2, 65, 3, 0]	Alto Swing
[p2, 66, 3, 0]	Throat Sax
[p2, 67, 3, 0]	Sam's Sax
[p2, 68, 3, 0]	Ebony Oboe
[p2, 69, 3, 0]	StatelyOrc
[p2, 70, 3, 0]	Fhorn&Bssn
[p2, 71, 3, 0]	Dixi Brass
[p2, 72, 3, 0]	Pic-a-fife
[p2, 73, 3, 0]	Deep Flute
[p2, 74, 3, 0]	SingleFlut
[p2, 75, 3, 0]	Hard Pipes
[p2, 76, 3, 0]	Bottle Pad
[p2, 77, 3, 0]	NativeFlut
[p2, 78, 3, 0]	Wistelaan
[p2, 79, 3, 0]	Slippery
[p2, 80, 3, 0]	RaveSqrQS6
[p2, 81, 3, 0]	RaveSawQS6
[p2, 82, 3, 0]	Syn Circus
[p2, 83, 3, 0]	Analogist
[p2, 84, 3, 0]	Haurang
[p2, 85, 3, 0]	Voice Lead
[p2, 86, 3, 0]	Brassy 5th
[p2, 87, 3, 0]	Led Bass
[p2, 88, 3, 0]	Pluck Pad
[p2, 89, 3, 0]	Swell Pad
[p2, 90, 3, 0]	Air Pad MW
[p2, 91, 3, 0]	Voice Bell
[p2, 92, 3, 0]	Tranzcndnt
[p2, 93, 3, 0]	BladeRunnr
[p2, 94, 3, 0]	Hilo Pad
[p2, 95, 3, 0]	E Sweep
[g1]		Group D4
[p2, 96, 3, 0]	Acid Rain
[p2, 97, 3, 0]	Legendary
[p2, 98, 3, 0]	Strukit
[p2, 99, 3, 0]	Strafing
[p2, 100, 3, 0]	GldnFleece
[p2, 101, 3, 0]	Nitrous
[p2, 102, 3, 0]	HighGlissz
[p2, 103, 3, 0]	Moon&Womb
[p2, 104, 3, 0]	Atmossitar
[p2, 105, 3, 0]	DownYonder
[p2, 106, 3, 0]	Shame-isen
[p2, 107, 3, 0]	Kotobaba
[p2, 108, 3, 0]	Chasers
[p2, 109, 3, 0]	Bagboe
[p2, 110, 3, 0]	ZizzViolin
[p2, 111, 3, 0]	Tom'sO'Man
[p2, 112, 3, 0]	Ambi Rock
[p2, 113, 3, 0]	Trashy Kit
[p2, 114, 3, 0]	T Funk Era
[p2, 115, 3, 0]	PiqueDrumz
[p2, 116, 3, 0]	Harlem Tek
[p2, 117, 3, 0]	Big Dance
[p2, 118, 3, 0]	15ips Kit
[p2, 119, 3, 0]	Asylum Kit
[p2, 120, 3, 0]	Bonk
[p2, 121, 3, 0]	Go On
[p2, 122, 3, 0]	Donut Shop
[p2, 123, 3, 0]	Abuser
[p2, 124, 3, 0]	Dino + Dog
[p2, 125, 3, 0]	Fried
[p2, 126, 3, 0]	Insectagon
[p2, 127, 3, 0]	TseTse Fly
[g1]		Group E1
[p2, 0, 4, 0]	GrandPiano
[p2, 1, 4, 0]	DancePiano
[p2, 2, 4, 0]	EGrd & Pad
[p2, 3, 4, 0]	DirtyWurly
[p2, 4, 4, 0]	Mars E Pno
[p2, 5, 4, 0]	SuperRoadz
[p2, 6, 4, 0]	Ana Harpsi
[p2, 7, 4, 0]	Digi Clav
[p2, 8, 4, 0]	Chiff Bell
[p2, 9, 4, 0]	Tambigloxx
[p2, 10, 4, 0]	Basic Bell
[p2, 11, 4, 0]	MorphBells
[p2, 12, 4, 0]	Bellarimba
[p2, 13, 4, 0]	Brake Drum
[p2, 14, 4, 0]	Watercan
